"venue","country"
"Cooper Associates County Ground","England"
"Corfu Cricket Ground","Greece"
"County Ground, Bristol","England"
"County Ground, Chelmsford","England"
"County Ground, Derby","England"
"County Ground, Hove","England"
"County Ground, Northampton","England"
"County Ground, Taunton","England"
"D.Y. Patil Stadium","India"
"Dar es Salaam Gymkhana Club Ground","Tanzania"
"Daren Sammy National Cricket Stadium","West Indies"
"Darren Sammy National Cricket Stadium","West Indies"
"De Beers Diamond Oval","South Africa"
"Desert Springs Cricket Ground","Spain"
"Diamond Oval","South Africa"
"Doha Cricket Ground","Qatar"
"Dr DY Patil Sports Academy","India"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","India"
"Dreux Cricket Ground","France"
"Drummoyne Oval","Australia"
"Dubai","United Arab Emirates"
"Dubai International Cricket Stadium","United Arab Emirates"
"Dubai Sports City","United Arab Emirates"
"DY Patil Stadium","India"
"Eastern Oval","Australia"
"Eden Gardens","India"
"Eden Park","New Zealand"
"Edgbaston","England"
"Ekana Cricket Stadium","India"
"EKANA Stadium","India"
"Ekeberg Idrettspark","Norway"
"Emirates Old Trafford","England"
"Emirates Riverside","England"
"Entebbe Cricket Oval","Uganda"
"Eurolux Boland Park","South Africa"
"Europa Sports Complex","Gibraltar"
"Faisalabad","Pakistan"
"Faleata Oval","Samoa"
"FB Fields","Jersey"
"Feroz Shah Kotla","India"
"Forthill","Scotland"
"Friendship Oval","Japan"
"Gabba","Australia"
"Gaborone","Botswana"
"Gaddafi Stadium","Pakistan"
"Gahanga Cricket Ground","Rwanda"
"Gahanga International Cricket Stadium","Rwanda"
"Galle International Stadium","Sri Lanka"
"GB Oval","Hungary"
"Gelephu","Bhutan"
"Gent Cricket Ground","Belgium"
"Glostrup","Denmark"
"GMHBA Stadium","Australia"
"Goldenacre","Scotland"
"Grainville","Jersey"
"Grand Prairie Stadium","United States of America"
"Grange Cricket Club Ground","Scotland"
"Greater Noida Sports Complex Ground","Afghanistan"
"Green Park","India"
"Greenfield International Stadium","India"
"Greenfield Stadium","India"
"Guttsta","Norway"
"Guyana National Stadium","West Indies"
"Gymkhana Club Ground, Dar es Salaam","Tanzania"
"Hagley Oval","New Zealand"
"Hambantota","Sri Lanka"
"Happy Valley","Hong Kong"
"Harare Sports Club","Zimbabwe"
"Haslegrave Ground","England"
"Hazelaarweg","Netherlands"
"Headingley","England"
"High Performance Oval, Windhoek","Namibia"
"Himachal Pradesh Cricket Association Stadium","India"
"Hofstade","Belgium"
"Holkar Cricket Stadium","India"
"Hollywoodbets Kingsmead Stadium","South Africa"
"Hong Kong Cricket Club","Hong Kong"
"HPCA Stadium","India"
"Hurstville Oval","Australia"
"ICC Academy","United Arab Emirates"
"ICC Academy Ground","United Arab Emirates"
"ICC Academy Oval 2","United Arab Emirates"
"ICC Global Cricket Academy","United Arab Emirates"
"Imperial Wanderers Stadium","South Africa"
"Incheon","South Korea"
"Independence Park","Vanuatu"
"Indian Association Ground","Singapore"
"Integrated Polytechnic Regional Centre Ground","Rwanda"
"Iqbal Stadium","Pakistan"
"IS Bindra Stadium","India"
"Isle of Man Cricket Ground","Isle of Man"
"Jade Stadium","New Zealand"
"Jaffery Sports Club","Qatar"
"Jawaharlal Nehru Stadium","India"
"Jimmy Powell Oval","Cayman Islands"
"Jinja","Uganda"
"John Davies Oval","New Zealand"
"Johor Cricket Academy","Malaysia"
"JSCA International Stadium Complex","India"
"JSCA Stadium","India"
"Junction Oval","Australia"
"Kabul","Afghanistan"
"Kabul International Cricket Stadium","Afghanistan"
"Kaizuka Cricket Ground","Japan"
"Kallang Ground","Singapore"
"Kardinia Park","Australia"
"Karen Rolton Oval","Australia"
"Kennington Oval","England"
"Kensington Oval","West Indies"
"Kerava National Cricket Ground","Finland"
"Khan Shaheb Osman Ali Stadium","Bangladesh"
"Khettarama Stadium","Sri Lanka"
"King City","Canada"
"King George V Sports Ground","Guernsey"
"Kingsmead","South Africa"
"Kinrara Academy Oval","Malaysia"
"Kirtipur","Nepal"
"Kyambogo Cricket Oval","Uganda"
"L.C. de Villiers Oval","South Africa"
"La Manga Club","Spain"
"Lagos","Nigeria"
"Lalabhai Contractor Stadium","India"
"Lancaster Park","New Zealand"
"Latschach Cricket Ground","Austria"
"Lauderhill","United States of America"
"LC de Villiers Oval","South Africa"
"Les Quennevais","Jersey"
"Lincoln Green","New Zealand"
"Lisicji Jarak","Serbia"
"Lochlands","Scotland"
"Lord's","England"
"Los Reyes Polo Field","Mexico"
"Loughborough","England"
"Loughborough University Ground","England"
"Lugogo Cricket Oval","Uganda"
"M. Chinnaswamy Stadium","India"
"M.A. Chidambaram Stadium","India"
"M.A.Chidambaram Stadium","India"
"M.Chinnaswamy Stadium","India"
"Mackay Great Barrier Reef Arena","Australia"
"Maharashtra Cricket Association Stadium","India"
"Mahinda Rajapaksa International Cricket Stadium","Sri Lanka"
"Malahide","Ireland"
"Malkerns","Eswatini"
"Mangaung Oval","South Africa"
"Mannofield Park","Scotland"
"Manuka Oval","Australia"
"Maple Leaf Cricket Club","Canada"
"Marrara Cricket Ground","Australia"
"MCA Stadium","India"
"MCG","Australia"
"McLean Park","New Zealand"
"Mechelen Cricket Club","Belgium"
"Melbourne Cricket Ground","Australia"
"Mercantile Cricket Association Ground","Sri Lanka"
"Merchant Taylors School","England"
"Merrion Cricket Club Ground","Ireland"
"Metricon Stadium","Australia"
"Mirpur","Bangladesh"
"Mission Road Ground","Hong Kong"
"Moara Vlasiei Cricket Ground","Romania"
"Mombasa Sports Club Ground","Kenya"
"Mong Kok","Hong Kong"
"Morodok Techo National Stadium","Cambodia"
"Moses Mabhida Stadium","South Africa"
"Motera Stadium","India"
"Mount Maunganui","New Zealand"
"Mulpani Cricket Ground","Nepal"
"Multan Cricket Stadium","Pakistan"
"Muscat","Oman"
"Myreside","Scotland"
"Nairobi Club","Kenya"
"Nairobi Gymkhana Club Ground","Kenya"
"Narendra Modi Stadium","India"
"Nassau County International Cricket Stadium","United States of America"
"National Cricket Stadium, Grenada","West Indies"
"National Stadium","Pakistan"
"National Stadium, Hamilton","Bermuda"
"National Stadium, Karachi","Pakistan"
"Naucalpan","Mexico"
"Nehru Stadium","India"
"Nehru Stadium, Indore","India"
"Nehru Stadium, Kochi","India"
"New Road","England"
"New Williamfield","Scotland"
"Newlands","South Africa"
"Nondescripts Cricket Club Ground","Sri Lanka"
"North Sydney Oval","Australia"
"Oak Hill Cricket Ground","Ireland"
"Old Hararians","Zimbabwe"
"Old Trafford","England"
"Oman Academy 1","Oman"
"Oman Academy 2","Oman"
"Optus Stadium","Australia"
"Outsurance Oval","South Africa"
"OUTsurance Oval","South Africa"
"P Sara Oval","Sri Lanka"
"P. Sara Oval","Sri Lanka"
"Pallekele","Sri Lanka"
"Pallekele International Cricket Stadium","Sri Lanka"
"Pembroke Cricket Club Ground","Ireland"
"Perth Stadium","Australia"
"Peshawar","Pakistan"
"Pierre Werner Cricket Ground","Luxembourg"
"Pindi Cricket Stadium","Pakistan"
"Pokhara Rangasala","Nepal"
"Port Moresby","Papua New Guinea"
"Port Vila","Vanuatu"
"Prairie View Cricket Complex","United States of America"
"Providence Stadium","West Indies"
"Pukekura Park","New Zealand"
"Punjab Cricket Association IS Bindra Stadium","India"
"Punjab Cricket Association Stadium","India"
"Queen's Park Oval","West Indies"
"Queens Park Oval","West Indies"
"Queens Sports Club","Zimbabwe"
"Queenstown Events Centre","New Zealand"
"Quilmes","Argentina"
"R. Premadasa Stadium","Sri Lanka"
"R.Premadasa Stadium","Sri Lanka"
"Radlett","England"
"Rajiv Gandhi International Cricket Stadium","India"
"Rajiv Gandhi International Stadium","India"
"Rangiri Dambulla","Sri Lanka"
"Rangiri Dambulla International Stadium","Sri Lanka"
"Rawalpindi Cricket Stadium","Pakistan"
"Riverside Ground","England"
"Roma Cricket Ground","Italy"
"Rose Bowl","England"
"Royal Chiang Mai Sports Club","Thailand"
"Royal Selangor Club","Malaysia"
"Ruaraka Sports Club Ground","Kenya"
"Sabina Park","West Indies"
"Sandys Parish","Bermuda"
"Sano International Cricket Ground","Japan"
"Santarem Cricket Ground","Portugal"
"Sao Fernando","Mexico"
"Sardar Patel Stadium","India"
"Saurashtra Cricket Association Stadium","India"
"Saurashtra Stadium","India"
"Sawai Mansingh Stadium","India"
"Saxton Oval","New Zealand"
"Scarborough","England"
"SCG","Australia"
"Sea Breeze Oval","Argentina"
"Seat Unique Riverside","England"
"Seddon Park","New Zealand"
"Seebarn Cricket Ground","Austria"
"Senwes Park","South Africa"
"Sharjah","United Arab Emirates"
"Sharjah Cricket Stadium","United Arab Emirates"
"Sheikh Abu Naser Stadium","Bangladesh"
"Sheikh Kamal International Cricket Stadium","Bangladesh"
"Sheikh Zayed Cricket Stadium","United Arab Emirates"
"Sheikh Zayed Stadium","United Arab Emirates"
"Sher-e-Bangla National Cricket Stadium","Bangladesh"
"Shere Bangla National Stadium","Bangladesh"
"Showground Stadium","Australia"
"Sikh Union Club Ground","Kenya"
"Simonds Stadium","Australia"
"Sinhalese Sports Club Ground","Sri Lanka"
"Sir Vivian Richards Stadium","West Indies"
"Six Gun Grill Newlands","South Africa"
"Skarpnack","Sweden"
"Sky Stadium","New Zealand"
"Slagelse","Denmark"
"Smith Road","Cayman Islands"
"Sooriyawewa Stadium","Sri Lanka"
"Sophia Gardens","England"
"Southend Club","Pakistan"
"Sportpark Het Schootsveld","Netherlands"
"Sportpark Thurlede","Netherlands"
"Sportpark Westvliet","Netherlands"
"SSC","Sri Lanka"
"St Clement","Jersey"
"St George's College Ground, Buenos Aires","Argentina"
"St George's Park","South Africa"
"St Lawrence Ground","England"
"St Peter Port","Guernsey"
"Stormont","Ireland"
"Stubberudmyra","Norway"
"Subrata Roy Sahara Stadium","India"
"SuperSport Park","South Africa"
"SWALEC Stadium","England"
"Sydney Cricket Ground","Australia"
"Sydney Parade","Ireland"
"Sydney Showground Stadium","Australia"
"Sylhet International Cricket Stadium","Bangladesh"
"Szodliget Cricket Ground","Hungary"
"Tafawa Balewa Square","Nigeria"
"Takashinga Cricket Club","Zimbabwe"
"TCA Oval","Malawi"
"Terdthai Cricket Ground","Thailand"
"The 1st Central County Ground","England"
"The Gabba","Australia"
"The Grange Club","Scotland"
"The Oval","England"
"The Rose Bowl","England"
"The Spitfire Ground, St Lawrence","England"
"The Uptonsteel County Ground","England"
"The Village","Ireland"
"The Village, Dublin","Ireland"
"The Wanderers Stadium","South Africa"
"Three Ws Oval","West Indies"
"Tikkurila","Sweden"
"Tin Kwong Road Recreation Ground","Hong Kong"
"TIO Stadium","Australia"
"Titwood","Scotland"
"Tolerance Oval","United Arab Emirates"
"Tony Ireland Stadium","Australia"
"Toronto Cricket, Skating and Curling Club","Canada"
"Trent Bridge","England"
"Tribhuvan University International Cricket Ground","Nepal"
"TU Cricket Ground","Nepal"
"Turf City","Singapore"
"Udayana University Ground","Indonesia"
"UKM-YSD Cricket Oval","Malaysia"
"United Ground","Namibia"
"University Oval","New Zealand"
"Utilita Bowl","England"
"Vassil Levski Stadium","Bulgaria"
"VCA Stadium","India"
"Velden","Austria"
"Vidarbha Cricket Association Stadium","India"
"Vineyard Cricket Ground","England"
"Vinor Cricket Ground","Czech Republic"
"Voorburg Cricket Club","Netherlands"
"VRA Ground","Netherlands"
"W.A.C.A. Ground","Australia"
"WACA Ground","Australia"
"Wanderers Cricket Ground, Windhoek","Namibia"
"Wanderers Stadium","South Africa"
"Wankhede Stadium","India"
"Warner Park","West Indies"
"West End Park International Cricket Stadium","Qatar"
"Westpac Stadium","New Zealand"
"White Hill Field","Bermuda"
"Willowmoore Park","South Africa"
"Windsor Park","West Indies"
"Worcestershire County Ground","England"
"Wormsley","England"
"Wormsley Cricket Ground","England"
"Yeonhui Cricket Ground","South Korea"
"YMCA Cricket Club Ground","Ireland"
"YSD-UKM Cricket Oval","Malaysia"
"Zagreb","Croatia"
"Zahur Ahmed Chowdhury Stadium","Bangladesh"
"Zayed Cricket Stadium","United Arab Emirates"
"Zemst","Belgium"
